epoch,accuracy,loss,val_accuracy,val_loss
0,0.4721619784832001,1.917547583580017,0.6048387289047241,1.110946774482727
1,0.5610990524291992,1.0280964374542236,0.600806474685669,0.8998367190361023
2,0.5892986059188843,0.895432710647583,0.5645161271095276,0.8722964525222778
3,0.6066522002220154,0.8365875482559204,0.6612903475761414,0.7487753033638
4,0.6167751550674438,0.8170738816261292,0.6612903475761414,0.7342078685760498
5,0.6312364339828491,0.7829376459121704,0.6088709831237793,0.8220219612121582
6,0.6456977725028992,0.7779764533042908,0.6693548560142517,0.7141306400299072
7,0.6348517537117004,0.7884783744812012,0.6612903475761414,0.7449304461479187
8,0.6406363248825073,0.7711420059204102,0.625,0.7924998998641968
9,0.6334056258201599,0.7683825492858887,0.6693548560142517,0.7118832468986511
10,0.6550976037979126,0.7501105666160583,0.6653226017951965,0.7347778081893921
11,0.6767895817756653,0.7098392844200134,0.5362903475761414,0.9057620167732239
12,0.6594359874725342,0.7413303852081299,0.5645161271095276,0.8860453367233276
13,0.6601590514183044,0.7350056767463684,0.6451612710952759,0.7315502762794495
14,0.6587129235267639,0.7482671141624451,0.649193525314331,0.7338125109672546
15,0.6623282432556152,0.7088170051574707,0.6653226017951965,0.6828089952468872
16,0.6767895817756653,0.7156173586845398,0.6330645084381104,0.7871067523956299
17,0.6796818375587463,0.7105025053024292,0.6532257795333862,0.7577003240585327
18,0.6572667956352234,0.7266754508018494,0.6290322542190552,0.7542184591293335
19,0.6767895817756653,0.725610077381134,0.6290322542190552,0.8236712217330933
20,0.6854663491249084,0.6915948987007141,0.625,0.7615735530853271
21,0.6753434538841248,0.7204622030258179,0.6612903475761414,0.7239693403244019
22,0.6832971572875977,0.6924736499786377,0.6290322542190552,0.7488564252853394
23,0.6767895817756653,0.6963304877281189,0.6411290168762207,0.7334108948707581
24,0.6999276876449585,0.6871581077575684,0.6653226017951965,0.7339046597480774
25,0.6948662400245667,0.6730080842971802,0.6733871102333069,0.7363377809524536
26,0.6955893039703369,0.679163932800293,0.6895161271095276,0.6986694931983948
27,0.687635600566864,0.6910824775695801,0.6411290168762207,0.8083556294441223
28,0.6905278563499451,0.6822078227996826,0.6088709831237793,0.8463583588600159
29,0.6840202212333679,0.6824741959571838,0.6451612710952759,0.7279308438301086
30,0.7035430073738098,0.672244668006897,0.6088709831237793,0.8174775838851929
31,0.7230657935142517,0.6273145079612732,0.6330645084381104,0.7929638028144836
32,0.7086044549942017,0.6547096967697144,0.6451612710952759,0.7990466952323914
33,0.6970354318618774,0.6562185883522034,0.649193525314331,0.7283682823181152
34,0.7028199434280396,0.6403365731239319,0.6693548560142517,0.733457088470459
35,0.7165582180023193,0.6402627825737,0.600806474685669,0.8450465798377991
36,0.6934201121330261,0.6491104364395142,0.6330645084381104,0.8125613927841187
37,0.6999276876449585,0.6469877362251282,0.6330645084381104,0.8034150004386902
38,0.7230657935142517,0.6154818534851074,0.6330645084381104,0.8112967014312744
39,0.7295733690261841,0.6311002373695374,0.5927419066429138,0.8990384936332703
40,0.7143890261650085,0.599216639995575,0.6209677457809448,0.8270145654678345
41,0.7042660713195801,0.633129358291626,0.6088709831237793,0.8033511638641357
42,0.7310194969177246,0.6029856204986572,0.600806474685669,0.839086651802063
43,0.7570499181747437,0.5628768801689148,0.6330645084381104,0.8259487748146057
44,0.7498192191123962,0.5888544321060181,0.6653226017951965,0.8299989104270935
45,0.7396963238716125,0.5890268683433533,0.6088709831237793,0.9050297737121582
46,0.7216196656227112,0.6052064895629883,0.6451612710952759,0.7850525379180908
47,0.7469269633293152,0.5958251357078552,0.6048387289047241,0.919783353805542
48,0.749096155166626,0.5821308493614197,0.6290322542190552,0.8332223296165466
49,0.7396963238716125,0.5830764174461365,0.649193525314331,0.8064817190170288
